2026-09-11T17:29:30.132,192.168.4.2,192.168.1.1,17,366,normale
2026-09-11T17:29:30.426,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:29:30.563,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:29:31.426,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:29:31.483,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:29:32.433,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:29:32.507,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:29:33.429,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:29:33.532,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:29:34.435,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:29:34.454,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:29:35.432,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:29:35.477,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:29:36.438,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:29:36.604,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:29:37.434,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:29:37.526,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:29:37.769,192.168.4.2,192.168.1.1,17,366,normale
2026-09-11T17:29:38.442,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:29:38.652,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:29:39.435,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:29:39.573,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:29:40.44,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:29:40.493,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:29:41.436,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:29:41.722,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:29:42.441,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:29:42.645,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:29:43.437,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:29:43.566,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:29:44.443,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:29:44.489,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:29:45.345,192.168.4.4,224.0.0.251,17,387,normale
2026-09-11T17:29:45.439,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:29:45.718,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:29:46.444,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:29:46.638,192.168.4.3,192.168.4.2,1,122,normale
